Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
86,97.01987,5.28E-05,0.0102803,7,604,10,0.00628642,0.3069134,0.8442134,0.94135326,54860,44
87,95.83333,4.37E-05,0.0089273,8,816,26,0.0048595937,0.4620182,0.8030378,0.8829447,57855,41
87,95.62563,4.9E-05,0.0080973,6,983,28,0.0055870595,0.456239,0.8301844,0.94482934,1160,38
90,96.36964,4.98E-05,0.0118179,10,606,16,0.0056671067,0.35418662,0.836273,0.91089696,83132,46
87,95.34483,5.5E-05,0.0079199,9,580,24,0.0043218983,0.40963894,0.8104775,0.8925193,81336,41
89,99.83361,6E-05,0.0108712,10,601,20,0.005778621,0.55352783,0.89405406,0.9900144,19579,45
87,98.0916,3.06E-05,0.0058936,9,524,18,0.005431006,0.52988607,0.83144283,0.9764348,43699,32
89,97.11816,5.34E-05,0.0071985,8,694,30,0.0048968033,0.49574107,0.82848066,0.9336633,79420,40
89,95.894424,3.88E-05,0.0081526,8,682,26,0.0056685274,0.39224195,0.8239637,0.99970937,20123,35
89,95.11754,5.51E-05,0.0066832,8,553,26,0.003927933,0.35433137,0.8620617,0.8299288,79127,43
89,98.45679,5.88E-05,0.0151333,10,648,11,0.0052634324,0.58308154,0.8596535,0.94891745,6637,45
88,94.26143,4.31E-05,0.0133321,6,941,10,0.0030360953,0.5187536,0.8799903,0.9570848,13108,40
87,96.76339,4.95E-05,0.0096175,6,896,14,0.004703451,0.4720951,0.8116458,0.83854103,81444,40
87,97.52907,5.51E-05,0.0112942,9,688,16,0.0031017072,0.54149014,0.88877326,0.8873763,64302,42
88,96.05809,7.3E-05,0.0161264,10,964,14,0.005931078,0.3786219,0.8088966,0.80279857,62467,30
85,96.274506,7.52E-05,0.0071058,6,510,16,0.0069619482,0.45485294,0.8418103,0.90641075,21582,45
89,94.63987,4.38E-05,0.0087669,8,597,14,0.0032322386,0.4845799,0.8397086,0.9468359,75494,32
87,97.63407,4.15E-05,0.0068202,8,634,30,0.0068672914,0.45505065,0.8057508,0.9013798,6729,35
82,91.40351,7.79E-05,0.0065754,6,570,27,0.003894364,0.3376138,0.81340593,0.9360317,47436,41
86,97.44027,0.0001483,0.0135759,9,586,12,0.0058729392,0.386191,0.89443487,0.96256316,61763,43
85,97.03264,6.85E-05,0.0083948,6,674,18,0.0061804852,0.57380277,0.8805005,0.8678885,78083,47
86,99.16388,5.83E-05,0.0108139,10,598,26,0.0067327125,0.38042668,0.8314492,0.8962886,15585,49
86,96.01707,5.14E-05,0.0085126,8,703,27,0.004816124,0.3571657,0.871177,0.9345361,39005,40
86,94.79326,4.44E-05,0.0050428,6,653,23,0.0051494716,0.48144972,0.8959609,0.93716806,49344,35
86,97.316635,4.82E-05,0.009148,9,559,22,0.0057564555,0.36039135,0.89597,0.89446783,12279,50
90,94.01198,6.48E-05,0.0117424,8,835,28,0.003113243,0.48474512,0.8947379,0.9146749,27647,49
88,94.64286,4.01E-05,0.0076566,8,784,22,0.004610311,0.38877952,0.86241835,0.9097495,17630,32
88,93.8326,4.71E-05,0.0062572,6,681,30,0.0059114536,0.37155202,0.8885976,0.94977313,1604,48
88,98.707405,4.73E-05,0.0116638,8,851,25,0.0062549706,0.5112955,0.8583078,0.98861,30505,38
